doi,title,source,nnaa_track,pmid,journal,pub_date,abstract,nnaa_compound,ai_article_type,ai_pass,ai_rationale_zh,ai_nnaa_category,ai_synthesis_method,ai_has_pathway_or_synthesis,ai_compound,fetched_at,publication_types,ai_domain_relevant,ai_has_experiment,lit_type_zh
10.1186/s41181-026-00436-0,"Automated radiosynthesis of 2-[18F]BPA for PET-based planning of boron neutron capture therapy (BNCT): rational precursor design, radiofluorination, and characterization of methodology.",pubmed,chemical,41784763,EJNMMI radiopharmacy and chemistry,2026-Mar-05,"BACKGROUND: Boron neutron capture therapy relies on the selective accumulation of boron-containing compounds in tumor tissue, making accurate quantification of boron distribution essential for effective treatment planning. The amino acid analog boronophenylalanine is widely used as a boron delivery agent, yet direct assessment of its biodistribution remains challenging. A fluorine-18 labeled analog, 2-fluoro-boronophenylalanine, offers the potential to visualize and quantify uptake through positron emission tomography. However, reported radiosynthetic methods often suffer from low radiochemical yield, complex workflows, and limited compatibility with automated production platforms. The aim of this study was to design a stable precursor suitable for nucleophilic fluorination, develop a fully automated single-reactor radiosynthesis, and characterize the resulting tracer to support both preclinical use and future clinical translation.
RESULTS: A rationally protected precursor incorporating tert-butyloxycarbonyl and pinacol ester groups was synthesized and isolated with high chemical and enantiomeric purity. Using this precursor, an automated single-pot radiosynthesis was implemented on a commercial synthesis module employing copper-mediated nucleophilic fluorination followed by acidic hydrolysis. Across eight production runs, the method yielded 2-fluoro-boronophenylalanine with non-decay-corrected radiochemical yields of 3-5% and a total synthesis time of approximately 60-70 min. Radiochemical purity consistently exceeded 98%, and the molar activity at the end of synthesis ranged from 85 to 120 GBq per micromole. The final formulation remained chemically and radiochemically stable for at least four hours at room temperature. Analytical and chiral chromatographic assessments confirmed product identity, purity, and retention of stereochemical configuration.
CONCLUSIONS: This study establishes a practical and fully automated radiosynthetic approach for producing 2-fluoro-boronophenylalanine using a single-reactor nucleophilic fluorination strategy. The method overcomes key limitations of electrophilic fluorination and multi-pot workflows, provides high radiochemical purity and suitable molar activity, and is compatible with commercially available synthesis equipment. These features support routine preclinical application and position the method for future current good manufacturing practice adaptation to enable clinical use in boron neutron capture therapy planning.",,research_article,true,文章开发了2-[18F]BPA（氟代硼苯丙氨酸）的全自动放射化学合成方法，包括保护基策略、铜介导氟化及水解，属于非天然氨基酸的化学合成，报告了收率、纯度等工艺参数。,chemical,chemical,yes,2-fluoro-boronophenylalanine,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1007/s11030-026-11488-4,"Total synthesis of marine cyclopeptide largamides B and H, and tiglicamide B.",pubmed,chemical,41739388,Molecular diversity,2026-Feb-25,"Largamides A–H and tiglicamides A–C comprise a rare class of marine-derived cyclic peptides characterized by protease inhibitory activity and highly intricate molecular architectures. Their pronounced biological relevance, coupled with their limited natural abundance, has rendered these compounds longstanding and compelling targets for total synthesis. In this study, we report comprehensive synthetic investigations of largamides B and H, together with the first total synthesis and biological evaluation of tiglicamide B as a novel inhibitor of nitric oxide (NO) production. Our synthetic strategy employs carefully designed protecting-group manipulations in conjunction with a convergent fragment-assembly approach, enabling the efficient construction of these densely functionalized peptide frameworks. Notable features of this work include the utilization of threonine-derived selenide precursors for the stereoselective installation of 2,3-dehydro-2-aminobutanoic acid motifs; the synthesis of the 2,5-dihydroxylated β-amino acid residue of largamide H via Brown allylation followed by Sharpless asymmetric epoxidation; and the preparation of the structurally unusual bis-protected L-Ahppa fragment through site-selective C–H bond functionalization. Collectively, these studies not only provide streamlined and robust synthetic access to members of this challenging peptide family but also establish broadly applicable methodologies for the synthesis of bioactive analogues and other structurally complex peptide architectures.",,research_article,true,"全合成海洋环肽largamides和tiglicamide B，包含2,3-脱氢-2-氨基丁酸、2,5-二羟基化β-氨基酸等非天然氨基酸残基，并详细描述其不对称合成方法。",chemical,chemical,yes,"2,3-dehydro-2-aminobutanoic acid, beta-amino acid",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1021/acs.joc.5c03063,Evolution of a Strategy for the Unified Synthesis of Enteropeptin Sactipeptides.,pubmed,chemical,41730708,The Journal of organic chemistry,2026-Mar-06,"Sactipeptides are a class of natural product peptides with remarkable antibiotic properties that are defined by the presence of thioaminoketals in their structure. Recently, we reported the first total synthesis of a sactipeptide in our synthesis of enteropeptin A. The key to our synthesis involved the use of a dithiophosphoric acid catalyzed Markovnikov hydrothiolation of dehydroamino acids. With this reaction, thioaminoketals found in sactipeptides can be prepared directly from a dehydroamino acid and a cysteine residue. This article summarizes our initial approach toward enteropeptin synthesis and the evolution of our strategy that ultimately enabled the synthesis of these peptide natural products. Our first strategy involved late-stage Markovnikov hydrothiolation of an 8-mer peptide containing a dehydroamino acid and a cysteine residue that was unsuccessful. The second strategy involved an annulation reaction between a methyl ester of a dehydroamino acid and a cysteine with an unprotected amine that forged the central thiomorpholine ring albeit in low yield. The third strategy involved a divergent synthesis of the enteropeptins by early stage formation of the thiomorpholine ring by Markovnikov hydrothiolation followed by amidative coupling of the N- and C-terminal peptide fragments. This modular strategy enabled the unified synthesis of the enteropeptin sactipeptides.",,research_article,true,文章报告了含脱氢氨基酸（dehydroamino acid）的sactipeptide天然产物enteropeptin的全合成，核心反应为脱氢氨基酸的Markovnikov加硫反应，涉及NNAA（脱氢氨基酸）的化学合成路线，具体描述了多步合成策略和收率。,chemical,chemical,yes,"dehydroamino acid, thioaminoketal",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.3390/molecules31030449,Asymmetric Mannich Reaction of α-(2-Nitrophenylsulfenyl)imino Acetamide: A Cyclization-Driven Process.,pubmed,chemical,41683426,"Molecules (Basel, Switzerland)",2026-Jan-27,"An enantioselective Mannich reaction of 2-(2-nitrophenylsulfenylimino)acetamide is described. Under the optimized conditions using proline, triethylamine, and diarylthiourea additives, the initially formed Mannich adduct undergoes irreversible cyclization to afford cyclic hemiaminal products in 21-58% yield, with diastereomeric ratios ranging from 53:47 to 83:17. Enantioselectivity reaches up to 97% ee. The presence of N-H functionality of the substrate is crucial for this cyclization; in its absence, the Mannich adduct undergoes facile decomposition. Subsequent reduction in this intermediate efficiently furnished the corresponding homoserine derivative.",hSer,research_article,true,以α-(2-硝基苯基硫基)亚氨基乙酰胺为底物，经不对称Mannich反应及还原制备高丝氨酸衍生物，高丝氨酸属非天然氨基酸，且报告了具体合成步骤与ee值。,chemical,chemical,yes,homoserine derivative,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1021/acs.orglett.6c00043,Catalytic Asymmetric Synthesis of α-Alkenyl Quaternary Amino Acid Esters.,pubmed,chemical,41674126,Organic letters,2026-Feb-20,"Although chiral α-alkenyl quaternary amino acid derivatives have been extensively utilized in organic synthesis, the catalytic asymmetric synthesis of such compounds remains elusive. In this report, we present a highly efficient method for the direct introduction of an alkenyl group at the α carbon of an NH2-unprotected amino acid ester through a three-component reaction involving readily available aryl (alkenyl) bromide and allyl acetate, facilitated by chiral aldehyde/palladium co-catalysis. A diverse array of α-alkenyl quaternary amino acid esters featuring unconjugated π systems are generated in commendable yields and excellent enantioselectivities, and some of them are used for the synthesis of valuable building blocks.",,research_article,true,报告了通过手性醛/钯协同催化三组分反应直接合成α-烯基季碳氨基酸酯的不对称方法，核心产物为非天然α-烯基季碳氨基酸衍生物，含具体收率和对映选择性数据。,chemical,chemical,yes,α-alkenyl quaternary amino acid esters,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1021/acs.orglett.6c00038,Total Synthesis of Chrysosporazines B and C.,pubmed,chemical,41622664,Organic letters,2026-Feb-13,"The first total synthesis of chrysosporazines B and C was accomplished in a concise and highly stereoselective manner with overall yields of 9.2% and 8.0%, respectively. Highlights of the synthesis include a Suzuki-Miyaura coupling of E-enol tosylate followed by Rh-catalyzed asymmetric hydrogenation to establish the nonsymmetric β,β-diaryl amino acid motif, a piperazinedione condensation and reduction to construct the piperazine framework, and a late-stage Pd-catalyzed carbonylation to furnish the hexahydro-6H-pyrazino[1,2-b]isoquinolin-6-one scaffold.",,research_article,true,"全合成chrysosporazines B和C，关键步骤包括Rh催化不对称氢化构建非对称β,β-二芳基氨基酸骨架，核心中间体含非天然β,β-二芳基氨基酸结构单元，报告了具体合成路线和立体选择性。",chemical,chemical,yes,"β,β-diaryl amino acid",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1021/jacs.5c20374,Expedient Synthesis of N-Protected/C-Activated Unnatural Amino Acids for Direct Peptide Synthesis.,pubmed,chemical,41616287,Journal of the American Chemical Society,2026-Feb-11,"Unnatural amino acids play a pivotal role in protein engineering and drug discovery. However, their efficient and enantioselective synthesis remains a central challenge in organic chemistry. Here, we describe a concise and practical two-step approach for the synthesis of diverse unnatural amino acid building blocks from readily available terminal alkynes. This method utilizes mild gold(I) catalysis in combination with inexpensive chiral tert-butylsulfinamide to deliver these valuable structures with excellent enantiomeric excesses─often upgraded to enantiopurity by simple recrystallization─and broad substrate scope. These unnatural amino acid derivatives are bench-stable and preequipped with a novel t-butylsulfenyl as the N-protecting group and a mildly activated carboxylic acid, making them immediately applicable to peptide synthesis under both solution- and solid-phase conditions. Furthermore, we demonstrate their successful incorporation into multiple peptide sequences using a coupling protocol that proceeds with negligible to no epimerization, even in challenging cases.",,research_article,true,文章报告了一种两步法从末端炔烃出发、利用金(I)催化结合手性叔丁基亚磺酰胺高对映选择性合成多种非天然氨基酸构建块的化学合成路线，明确描述了合成步骤、ee值及在肽合成中的直接应用，核心贡献为NNAA化学合成方法学。,chemical,chemical,yes,"unnatural amino acids, N-protected/C-activated amino acid building blocks",2026-07-23 18:45:34,"Journal Article; Research Support, N.I.H., Extramural",true,yes,研究论文
10.1021/jacs.5c22180,Enantioselective Radical Addition of Carboxylic Acids to Imines through Cooperative Copper/Acridine Catalysis.,pubmed,chemical,41528812,Journal of the American Chemical Society,2026-Jan-28,"Amino acids and their derivatives are indispensable as both synthetic building blocks and functional entities in the chemical industry and life sciences. Herein, we report a modular strategy for the asymmetric synthesis of chiral α-amino acids and amines through the decarboxylative radical addition to imines. This protocol leverages readily available, cost-effective carboxylic acids, aldehydes, and anilines as starting materials, enabled by the synergistic catalysis of acridine and copper. The reaction operates under ambient conditions, exhibits excellent functional group compatibility, and delivers high stereocontrol across a diverse substrate scope. Notably, it allows for the stereodivergent installation of multiple chiral centers into amino acid derivatives. Preliminary mechanistic investigations support a pathway involving the direct radical addition to the imine. This method thus provides a robust and reliable platform for accessing chiral amino acids and amines.",,research_article,true,文章报告了通过脱羧自由基加成亚胺的不对称合成策略，以铜/吖啶协同催化制备手性α-氨基酸，明确包含化学合成路线、立体控制和底物范围，核心产物为手性α-氨基酸（含非天然氨基酸衍生物）。,chemical,chemical,yes,"chiral α-amino acids, amino acid derivatives",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1002/cbic.202500749,A Stable Bioisostere of Ester-Linked Ubiquitin Chains Enables Decoding of Protein Interactors.,pubmed,chemical,41408898,Chembiochem : a European journal of chemical biology,2026-Jan,"Protein ubiquitination is a pivotal posttranslational modification that regulates diverse biological processes depending on the type of ubiquitin chain linkage. Recently, ester-linked ubiquitin chains have been identified, yet their inherent hydrolytic instability has posed a significant challenge for biochemical investigations. In this study, a stable and isosteric amide analog of an ester-linked ubiquitin dimer, is chemically synthesized in which serine (Ser) at position 20 of the proximal ubiquitin is replaced with 2,3-diaminopropionic acid (Dap). The desired amide analog is synthesized using a convergent approach involving the sequential chemoselective ligation of three peptide fragments generated through Fmoc-based solid-phase peptide synthesis. Employing this chemically robust ubiquitin probe, a previously unrecognized interaction is uncovered between Ser20-linked ubiquitin chains and spliceosome-associated factors, notably ubiquitin-specific protease 39. These findings highlight the potential of the ester-to-amide bioisosteric strategy to unlock mechanistic insights into atypical ubiquitin modifications. The approach not only circumvents the intrinsic instability of ester-linked ubiquitin chains but also provides a broadly applicable framework for dissecting their biological roles, paving the way for future discoveries in ubiquitin signaling.",Dap,research_article,true,"文章报告了以2,3-二氨基丙酸（Dap）替换丝氨酸构建酯键泛素链稳定类似物的化学合成路线，Dap属于非天然氨基酸，且文中明确描述了含Dap的肽段的Fmoc固相合成及汇聚连接策略，具有具体合成方法学内容。",chemical,chemical,yes,"2,3-diaminopropionic acid, Dap",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1021/acs.joc.5c02220,"An Asymmetric Route to β-Aminoalanine Derivatives through Michael Addition of Amides, Imides, and Isatins to a Chiral Dehydroalanine Ni(II) Complex.",pubmed,chemical,41305863,The Journal of organic chemistry,2025-Dec-12,"The asymmetric synthesis of β-aminoalanine derivatives containing an amide, imide, and isatin fragment through the Michael addition reaction is presented. The coupling of a chiral dehydroalanine Ni(II) complex with amides, imides, and isatins catalyzed by base afforded modified Ni(II) complexes with high diastereoselectivity. Decomposition of the selected complex with HCl gave an α-amino acid with a morpholinone fragment as well as its α-deuterated analogue. Functionalization of an isatin-containing Ni(II) complex through a 1,3-cycloaddition reaction and subsequent acid-induced decomposition led to a spiro diamino diacid.",,research_article,true,文章报道了通过手性脱氢丙氨酸Ni(II)配合物与酰胺、酰亚胺及靛红的Michael加成反应，不对称合成β-氨基丙氨酸衍生物（α-氨基酸），含具体合成路线、非对映选择性数据及产物表征，属于NNAA化学合成研究。,chemical,chemical,yes,"β-aminoalanine derivatives, spiro diamino diacid",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.3390/md23090340,Total Syntheses of Marine Natural Products Lyngbyabellin O and Lyngbyabellin P.,pubmed,chemical,41003309,Marine drugs,2025-Aug-26,"Lyngbyabellins O and P are complex natural products derived from non-ribosomal peptide synthetase/polyketide synthase (NRPS/PKS) biosynthetic pathways and have been isolated from marine cyanobacterial sources. Both metabolites are characterized by the presence of two thiazole rings and a distinctive dichlorinated β-hydroxy acid side chain. Notably, lyngbyabellin P is further distinguished by the incorporation of a (3R,4S)-statine moiety. Herein, we report the first total syntheses of lyngbyabellins O and P, which are achieved through the convergent coupling of three key synthetic fragments, namely, two enantiomerically enriched thiazole subunits and a hydroxycarboxylic acid derivative, the latter constructed via a stereoselective aldol reaction. The total syntheses were completed in 12 and 13 longest linear steps (LLSs) for lyngbyabellins O and P, respectively, furnishing the natural products in overall yields of 5.6% and 2.5%.",,research_article,true,"报道lyngbyabellin O和P的全合成，其中P含(3R,4S)-statine（一种非天然氨基酸），并描述了其立体选择性合成路线。",chemical,chemical,yes,statine,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
